id,description,category,standard,active
155.40.5.3.02,LINFADENECTOMIA RADICAL INGUINOFEMORAL O ILIACA BILATERAL,Cirugía,PDSS 10.0,1
156.41.3.1.01,BIOPSIA POR ASPIRACION DE MEDULA OSEA,Cirugía,PDSS 10.0,1
157.42.9.2.01,DILATACION ESOFAGICA CON BUJIAS DE MERCURIO,Cirugía,PDSS 10.0,1
158.43.6.1.00,GASTRODUODENOSTOMIA SOD,Cirugía,PDSS 10.0,1
159.43.9.1.00,GASTRECTOMIA TOTAL CON INTERPOSICION INTESTINAL SOD,Cirugía,PDSS 10.0,1
160.42.2.1.00,ESOFAGOSCOPIA OPERATORIA POR INCISION SOD,Cirugía,PDSS 10.0,1
161.46.0.1.02,YEYUNOSTOMIA,Cirugía,PDSS 10.0,1
162.47.1.1.00,APENDICECTOMIA SOD,Cirugía,PDSS 10.0,1
163.47.1.2.00,"APENDICECTOMIA POR PERFORACION, CON DRENAJE DE ABCESO, LIBERACION DE PLASTRÓN Y/O DRENAJE DE PERITONITIS LOCALIZADA SOD",Cirugía,PDSS 10.0,1
164.49.4.2.00,ESCLEROSIS DE HEMORROIDES,Cirugía,PDSS 10.0,1
165.49.4.5.00,LIGADURA DE HEMORROIDES SOD,Cirugía,PDSS 10.0,1
166.49.4.6.01,ESCISION DE HEMORROIDES INTERNAS,Cirugía,PDSS 10.0,1
167.49.4.6.02,ESCISION DE HEMORROIDES EXTERNAS,Cirugía,PDSS 10.0,1
168.49.4.7.00,EVACUACION DE HEMORROIDES TROMBOSADAS SOD,Cirugía,PDSS 10.0,1
169.49.7.5.08,CORRECCION DE ANO IMPERFORADO Y FISTULA RECTO-URETRAL,Cirugía,PDSS 10.0,1
170.51.0.5.00,DRENAJE DE QUISTE DEL COLEDOCO SOD,Cirugía,PDSS 10.0,1
171.51.2.1.01,COLECISTECTOMIA POR LAPAROTOMIA,Cirugía,PDSS 10.0,1
172.51.2.1.03,COLECISTECTOMIA CON EXPLORACIÓN DE VIAS BILIARES POR COLEDOCOTOMIA,Cirugía,PDSS 10.0,1
173.52.0.2.00,MARSUPIALIZACION DE QUISTE DEL PÁNCREAS SOD,Cirugía,PDSS 10.0,1
175.52.3.1.00,EXTRACCION DE CUERPO EXTRAÑO DE PANCREAS SOD,Cirugía,PDSS 10.0,1
176.52.9.5.02,SUTURA SIMPLE DE PANCREAS,Cirugía,PDSS 10.0,1
177.53.1.1.00,REPARACION BILATERAL DE HERNIA INGUINAL DIRECTA SOD,Cirugía,PDSS 10.0,1
